"verse_number","text_header","text","chapter_title","chapter","page_number"
16,,"That person, whose urine, if kept overnight in a vessel, becomes partly dense and partly clear owing to the provocation of Kapha, is said to be suffering from Belluria.","Anomalies of Urinary Secretion (prameha-nidana)",4,
17,,"That person whose urine is white and appears as if mixed with flour and who suffers from frequent micturition owing to the provocation of Kapha is said to be suffering from Bacteriuria.","Anomalies of Urinary Secretion (prameha-nidana)",4,
18,,"That person is said to be suffering from Spermaturia born of the provocation of Kapha, who frequently passes urine which is either semen-like in appearance or is mixed with semen.","Anomalies of Urinary Secretion (prameha-nidana)",4,
19,,"That person is said to be suffering from Phosphaturia born of the provocation of Kapha, who passes a large quantity of urine which is exceedingly sweet and cold.","Anomalies of Urinary Secretion (prameha-nidana)",4,
20,,"That person is to be known to suffer from Graveluria born of provoked Kapha, who passes along with urine, hard and small particles produced by the pathological condition of the urine.","Anomalies of Urinary Secretion (prameha-nidana)",4,
21,,"That person is said to be suffering from Slow-micturition born of provoked Kapha, who passes urine little by little without any force, with difficulty and very slowly.","Anomalies of Urinary Secretion (prameha-nidana)",4,
22,,"That person is said to be suffering from Pyuria born of provoked Kapha, whose urine appears to be full of mucous threads and is slimy and viscid.","Anomalies of Urinary Secretion (prameha-nidana)",4,
23,,"Thus, the ten anomalies of urinary secretion (prameha) caused by the provocation of Kapha, have been described.","Anomalies of Urinary Secretion (prameha-nidana)",4,
24,"The Pitta type of Disorders","In a man afflicted already with the above mentioned condition, the habitual use of hot, acid, salt, alkaline and pungent articles, predigestion-meal, and exposure to severe sunshine and fire, anxiety, overwork, anger and promiscuous diet cause immediate provocation of Pitta. This provoked Pitta, very soon, brings about the manifestation of the following six kinds of the urinary anomalies (prameha) by the same process as described above.","Anomalies of Urinary Secretion (prameha-nidana)",4,
25,"Their Names","These again acquire special designation according to the particular qualities of Pitta. They are—Ksharameha, Kalameha, Nilameha, Lohitameha, Manjishthameha and Haridrameha.","Anomalies of Urinary Secretion (prameha-nidana)",4,
26,"Their Names","They combine with the six qualities of Pitta as described above viz., alkaline quality, acidity, saltishness, pungency, smell of raw meat and heat.","Anomalies of Urinary Secretion (prameha-nidana)",4,
27,"Their Palliable nature","They are all only palliable owing to the proximity of the seat of the discordant humors, and that of the adipose tissue and owing to the antagonism involved in their treatment.","Anomalies of Urinary Secretion (prameha-nidana)",4,
28,"The signs and symptoms of Pitta type of disorders","Here are the following verses regarding the special characteristics of the urinary disorders of Pitta type.","Anomalies of Urinary Secretion (prameha-nidana)",4,
29,,"That person is said to be suffering from Ksharameha (Alkalinuria), born of the excessive provocation of Pitta, who passes urine resembling alkali in smell, color, taste and touch.","Anomalies of Urinary Secretion (prameha-nidana)",4,
30,,"That person is said to be suffering from Kalameha (Melanuria), born of the excessive provocation of Pitta, who passes soot-black and warm urine constantly.","Anomalies of Urinary Secretion (prameha-nidana)",4,
31,,"That person is said to be suffering from Nilameha (Indigouria), born of the excessive provocation of Pitta, who passes urine of the color of the wings of blue Jay (Cāṣa) bird and which is acid.","Anomalies of Urinary Secretion (prameha-nidana)",4,
32,,"That person is said to be suffering from Lohitameha (Hematuria), born of the excessive provocation of Pitta whose urine smells like raw meat and which is saltish, warm and red.","Anomalies of Urinary Secretion (prameha-nidana)",4,
33,,"That man is said to be suffering from Manjishthameha (Hemoglobinuria) born of the provocation of Pitta, who passes urine of the color of indian madder water, which is increased in quantity, and which smells like raw meat.","Anomalies of Urinary Secretion (prameha-nidana)",4,
34,,"That person is said to be suffering from Haridrameha (Urobiliuria) born of the provocation of Pitta, whose urine is of the color of turmeric-water, and is pungent.","Anomalies of Urinary Secretion (prameha-nidana)",4,
35,,"Thus have been described the six anomalies of urinary secretion (prameha) caused by the excessive provocation of Pitta.","Anomalies of Urinary Secretion (prameha-nidana)",4,
36,"The Vata type of Disorders","In a man afflicted with the above mentioned condition, the habitual use of astringent, pungent, bitter, dry, light and cold articles and over-indulgence in sex-act, exercise, emesis, purgation, enemata and errhines, suppression of natural urges, fasting, trauma, sun-heat, worry, grief, depletion of blood, walking and unwholesome postures of the body, cause immediate provocation of Vata.","Anomalies of Urinary Secretion (prameha-nidana)",4,
37,"Their pathology","When the provoked Vata while circulating in such a body, carrying fat with it, goes to the urinary channels, there occurs the condition of Vasāmeha (Lipuria). When it carries marrow to the urinary organs, there occurs the condition of Majjameha (Myelo-uria). When it carries the lymph to the urinary organs and causes the continual flow of urine, then owing to excessiveness of lymph and the expelling quality of Vata, there occurs markedly frequent urge for micturition, and retention of the residual urine. In such a condition, the man continuously discharges urine without any force like a mad elephant; this condition is called Hastimeha. If Vata by its dry quality changes the vital essence which is naturally of sweet taste, into one of astringent taste and carries it to the urinary organs, then it causes the condition called Madhumeha (Diabetes).","Anomalies of Urinary Secretion (prameha-nidana)",4,
38,"Their Etiology","Physicians consider these four types of urinary disorders caused by Vata as incurable owing to their great urgency and the antagonism involved in the treatment.","Anomalies of Urinary Secretion (prameha-nidana)",4,
39,"Their Names","They obtain special appellation according to the respective qualities of Vata. They are Lipuria, Myelo-uria, Hastimeha and Diabetes.","Anomalies of Urinary Secretion (prameha-nidana)",4,
40,"Their signs and symptoms","The following verses describe the special characteristics of the various urinary disorders of the Vata type.","Anomalies of Urinary Secretion (prameha-nidana)",4,
41,,"That person is said to be suffering from incurable Vasameha (Lipuria) owing to the provoked Vata, who frequently passes urine mixed with fat or having the appearance of fat.","Anomalies of Urinary Secretion (prameha-nidana)",4,
42,,"That person is said to be suffering from incurable Majjameha (Myelo-uria) born of the provoked Vata who passes frequently urine mixed with marrow.","Anomalies of Urinary Secretion (prameha-nidana)",4,
43,,"That person is said to be suffering from incurable Hastimeha born of the provoked Vata, who continuously dribbles excessive amounts of urine like a mad elephant.","Anomalies of Urinary Secretion (prameha-nidana)",4,
44,,"That person is said to be suffering from incurable Madhumeha (Diabetes), born of the provoked Vata, who passes urine which is astringent and sweet in taste, yellowish-white in color and which is unctuous.","Anomalies of Urinary Secretion (prameha-nidana)",4,
45,,"Thus have been described the four anomalies of urinary secretion (prameha) caused by the provocation of Vata.","Anomalies of Urinary Secretion (prameha-nidana)",4,
46,,"Thus, the twenty anomalies of urinary secretion caused by the provocation of the three humors have been described.","Anomalies of Urinary Secretion (prameha-nidana)",4,
47,"The Premonitory symptoms of Urinary anomalies (prameha)","These three provoked morbid humors during the course of the development of the urinary disorders manifest the following premonitory symptoms: matting of the hair, sweet taste in the mouth, numbness, and burning of hands and feet, dryness in the mouth palate and throat, thirst, indolence, increased excrement in the body, increased discharge in the orifices of the body, thermalgia and numbness in the body, attraction of insects and ants to the body and urine, abnormalities in urine, smell like raw meat in the body, somnolence and continuous torpor.","Anomalies of Urinary Secretion (prameha-nidana)",4,
48,"Their Complications","The complications of the urinary disorders are: thirst, diarrhea, fever, burning, debility, anorexia, indigestion, putrefaction, sloughing, and inflammatory swelling such as dry gangrene, abscesses etc., due to the prolonged existence of the condition.","Anomalies of Urinary Secretion (prameha-nidana)",4,
49,"Their Treatment in Brief","The physician should treat these curable urinary anomalies by carrying out purificatory and sedative measures as required.","Anomalies of Urinary Secretion (prameha-nidana)",4,
50,"Susceptible Persons","Urinary disease quickly nestles into him who is a gormandizer and averse to cleanliness and exertion even as birds nestle into their nidal tree.","Anomalies of Urinary Secretion (prameha-nidana)",4,
51,"Predisposing factors","If there is excessive intake of nutritive foods such as milk, ghee, oil, sugar, and meat, then urinary disorder is certain to occur.","Anomalies of Urinary Secretion (prameha-nidana)",4,
52,"Etiology of Pitta and Vata types","Excessive use of pungent, bitter, astringent, alkaline and acid substances predispose the person to Pitta and Vata type urinary disorders.","Anomalies of Urinary Secretion (prameha-nidana)",4,
53,"Pathogenesis Summary","Kapha type disorders are seated in adipose tissue; Pitta type in blood and bile; Vata type in nerves and marrow, each following the humoral pathology described above.","Anomalies of Urinary Secretion (prameha-nidana)",4,
54,"Treatment Summary","Kapha types are curable with unctuous and diuretic measures; Pitta types palliable with cooling and purgative measures; Vata types incurable except temporarily with oleation, fomentation and supportive care.","Anomalies of Urinary Secretion (prameha-nidana)",4,
55,"Prognosis","Kapha type—good prognosis; Pitta type—moderate; Vata type—poor prognosis.","Anomalies of Urinary Secretion (prameha-nidana)",4,
56,"Conclusion","Thus ends the chapter on the anomalies of urinary secretion (prameha-nidana), describing twenty varieties, their pathology, symptoms, and basic treatment principles.","Anomalies of Urinary Secretion (prameha-nidana)",4,
